type,timestamp,positions,velocities,torques
STATE_MOTOR,44.41800001586671,"[-0.009203884727313847, 0.003834951969714103, 0.6435049405180264, 0.019941750242513333, 0.06979612584879667, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.11407, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,20256.756999970094,"[-0.009203884727313847, 0.003834951969714103, 0.6435049405180264, 0.019941750242513333, 0.06979612584879667, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.11407, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,40343.552999956955,"[-0.009203884727313847, 0.003834951969714103, 0.6435049405180264, 0.019941750242513333, 0.06979612584879667, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.091256, 0.0, 0.022814, 0.045628]"
STATE_MOTOR,60425.03599996962,"[-0.009203884727313847, 0.005368932757599744, 0.6435049405180264, 0.019941750242513333, 0.06979612584879667, 0.4986013986013986]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.07669903939428206]","[0.045628, 0.0, 0.091256, 0.022814, 0.022814, 0.045628]"
STATE_MOTOR,80503.03200002418,"[-0.007669903939428206, 0.009970875121256667, 0.6435049405180264, 0.019941750242513333, 0.06979612584879667, 0.5013986013986014]","[0.0, 0.15339807878856412, 0.0, 0.0, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.068442, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,100584.19500001037,"[-0.0046019423636569235, 0.01457281748491359, 0.6435049405180264, 0.019941750242513333, 0.07286408742456796, 0.5055944055944056]","[0.07669903939428206, 0.23009711818284617, 0.0, 0.0, 0.07669903939428206, 0.38349519697141027]","[0.022814, 0.0, 0.068442, 0.0, 0.022814, 0.045628]"
STATE_MOTOR,120664.59100014981,"[-0.0015339807878856412, 0.020708740636456155, 0.6435049405180264, 0.019941750242513333, 0.0743980682124536, 0.509090909090909]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.0, 0.15339807878856412, 0.46019423636569234]","[0.022814, 0.0, 0.045628, 0.0, 0.0, 0.022814]"
STATE_MOTOR,140744.634000157,"[0.0030679615757712823, 0.023776702212227437, 0.6435049405180264, 0.023009711818284616, 0.07746602978822488, 0.5132867132867133]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.07669903939428206, 0.07669903939428206, 0.38349519697141027]","[0.022814, 0.0, 0.022814, 0.0, 0.0, 0.0]"
STATE_MOTOR,160823.81399996846,"[0.007669903939428206, 0.029912625363770002, 0.6435049405180264, 0.026077673394055898, 0.07900001057611052, 0.5167832167832168]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, 0.15339807878856412, 0.38349519697141027]","[0.045628, 0.022814, 0.045628, 0.0, 0.0, 0.045628]"
STATE_MOTOR,180902.77000010246,"[0.01380582709097077, 0.03144660615165564, 0.6435049405180264, 0.02914563496982718, 0.08053399136399617, 0.5209790209790209]","[0.30679615757712825, 0.23009711818284617, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.0, 0.0, 0.022814, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,200981.5010001148,"[0.018407769454627694, 0.03604854851531257, 0.6435049405180264, 0.032213596545598466, 0.08053399136399617, 0.5244755244755245]","[0.30679615757712825, 0.15339807878856412, 0.0, 0.15339807878856412, 0.07669903939428206, 0.46019423636569234]","[0.0, 0.0, 0.022814, 0.0, 0.0, 0.045628]"
STATE_MOTOR,221059.5280000689,"[0.023009711818284616, 0.04218447166685513, 0.6435049405180264, 0.03834951969714103, 0.08053399136399617, 0.5300699300699301]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.46019423636569234]","[0.022814, 0.0, 0.022814, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,241139.89200009202,"[0.026077673394055898, 0.045252433242626414, 0.6435049405180264, 0.03988350048502667, 0.08053399136399617, 0.5328671328671328]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.46019423636569234]","[0.0, 0.0, 0.022814, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,261220.73600004113,"[0.02761165418194154, 0.04832039481839769, 0.6435049405180264, 0.044485442848683596, 0.08053399136399617, 0.5363636363636364]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.0, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,281303.24400012795,"[0.02914563496982718, 0.05445631796994026, 0.6435049405180264, 0.047553404424454875, 0.08053399136399617, 0.5405594405594406]","[0.07669903939428206, 0.30679615757712825, 0.0, 0.15339807878856412, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.0, 0.0, 0.0, 0.045628]"
STATE_MOTOR,301384.4390000031,"[0.032213596545598466, 0.059058260333597186, 0.6435049405180264, 0.052155346788111796, 0.08053399136399617, 0.544055944055944]","[0.07669903939428206, 0.23009711818284617, 0.0, 0.23009711818284617, 0.0, 0.46019423636569234]","[0.022814, 0.022814, 0.0, 0.022814, 0.0, 0.0]"
STATE_MOTOR,321464.3230001002,"[0.035281558121369745, 0.06059224112148282, 0.6435049405180264, 0.056757289151768725, 0.08053399136399617, 0.5475524475524476]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.0, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,341544.1429999646,"[0.03988350048502667, 0.06519418348513975, 0.6450389213059121, 0.06135923151542565, 0.08053399136399617, 0.5503496503496503]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.23009711818284617, 0.0, 0.30679615757712825]","[0.022814, 0.0, 0.0, 0.0, 0.0, 0.022814]"
STATE_MOTOR,361624.441999993,"[0.044485442848683596, 0.06979612584879667, 0.6465729020937977, 0.06596117387908257, 0.08053399136399617, 0.5538461538461539]","[0.23009711818284617, 0.15339807878856412, 0.07669903939428206, 0.15339807878856412, 0.0, 0.30679615757712825]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
STATE_MOTOR,381703.49400002125,"[0.05062136600022616, 0.07286408742456796, 0.6481068828816834, 0.06902913545485385, 0.08053399136399617, 0.5566433566433566]","[0.30679615757712825, 0.15339807878856412, 0.07669903939428206, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.0, 0.0, 0.0, 0.0]"
STATE_MOTOR,401783.346000002,"[0.05522330836388308, 0.07593204900033923, 0.649640863669569, 0.07209709703062514, 0.08053399136399617, 0.5594405594405595]","[0.23009711818284617, 0.23009711818284617, 0.07669903939428206, 0.15339807878856412, 0.0, 0.30679615757712825]","[0.022814, 0.0, 0.022814, 0.0, 0.0, 0.022814]"
STATE_MOTOR,421863.4530000145,"[0.056757289151768725, 0.07900001057611052, 0.649640863669569, 0.07669903939428206, 0.08053399136399617, 0.5622377622377622]","[0.23009711818284617, 0.07669903939428206, 0.07669903939428206, 0.23009711818284617, 0.0, 0.30679615757712825]","[0.022814, 0.0, 0.022814, 0.0, 0.0, 0.0]"
STATE_MOTOR,441946.44100002735,"[0.06135923151542565, 0.08360195293976744, 0.649640863669569, 0.07976700097005333, 0.08053399136399617, 0.5643356643356643]","[0.15339807878856412, 0.30679615757712825, 0.0, 0.15339807878856412, 0.0, 0.23009711818284617]","[0.0, 0.0, 0.0, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,462025.3010000397,"[0.06442719309119693, 0.08973787609131001, 0.649640863669569, 0.08283496254582462, 0.08053399136399617, 0.5657342657342658]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.15339807878856412]","[0.022814, 0.022814, 0.0, 0.0, 0.0, 0.022814]"
STATE_MOTOR,482104.9600000151,"[0.06596117387908257, 0.0928058376670813, 0.6511748444574547, 0.0859029241215959, 0.08053399136399617, 0.5671328671328671]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.15339807878856412, 0.0, 0.23009711818284617]","[0.022814, 0.0, 0.0, 0.0, 0.0, 0.0]"
STATE_MOTOR,502184.1720001703,"[0.0674951546669682, 0.09587379924285257, 0.6511748444574547, 0.08897088569736719, 0.08053399136399617, 0.5685314685314685]","[0.07669903939428206, 0.23009711818284617, 0.07669903939428206, 0.15339807878856412, 0.0, 0.23009711818284617]","[0.022814, 0.0, 0.0, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,522264.21600016695,"[0.07056311624273949, 0.09740778003073822, 0.6527088252453404, 0.09203884727313846, 0.08053399136399617, 0.5699300699300699]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.07669903939428206, 0.0, 0.07669903939428206]","[0.022814, 0.0, 0.0, 0.0, 0.022814, 0.0]"
STATE_MOTOR,542344.1310001635,"[0.07363107781851078, 0.09894176081862385, 0.6527088252453404, 0.09510680884890975, 0.08053399136399617, 0.5706293706293706]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.15339807878856412, 0.0, 0.15339807878856412]","[0.022814, 0.0, 0.0, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,562422.5110000225,"[0.0782330201821677, 0.10354370318228077, 0.6527088252453404, 0.09510680884890975, 0.07746602978822488, 0.5706293706293706]","[0.23009711818284617, 0.15339807878856412, 0.0, 0.15339807878856412, -0.07669903939428206, 0.0]","[0.022814, 0.0, 0.0, 0.0, 0.022814, 0.0]"
STATE_MOTOR,582503.4179999875,"[0.08130098175793898, 0.10661166475805206, 0.6527088252453404, 0.09664078963679539, 0.07593204900033923, 0.5706293706293706]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.0, -0.15339807878856412, 0.0]","[0.022814, 0.022814, 0.0, 0.0, 0.022814, 0.0]"
STATE_MOTOR,602582.534000021,"[0.08436894333371026, 0.1081456455459377, 0.6527088252453404, 0.09817477042468103, 0.0743980682124536, 0.5706293706293706]","[0.15339807878856412, 0.15339807878856412, 0.0, 0.15339807878856412, -0.07669903939428206, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
STATE_MOTOR,622662.0980000916,"[0.08743690490948154, 0.10967962633382335, 0.6527088252453404, 0.09970875121256667, 0.07133010663668231, 0.5706293706293706]","[0.15339807878856412, 0.07669903939428206, 0.0, 0.07669903939428206, -0.07669903939428206, 0.0]","[0.022814, 0.0, 0.022814, 0.0, 0.022814, 0.0]"
