type,timestamp,positions
CONTROL,47.776999963389244,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20245.722000026944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40328.01500000005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60403.68399999352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80482.9050000535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100562.35000001834,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120637.66699998268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140711.35200003936,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160788.65300005418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180863.3619999682,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200937.495000062,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,221012.3319999866,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,241087.04100001432,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,261172.21499998777,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,281251.94799997646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,301328.0970000096,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321404.15000003483,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341477.51499995135,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361551.32800001866,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381625.3329999881,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401699.4019999629,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421775.13499996165,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441848.9150000369,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
