type,timestamp,positions,velocities,torques
STATE_MOTOR,70.91400004810566,"[-0.009203884727313847, 0.005368932757599744, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.4958041958041958]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,24384.198000007018,"[-0.009203884727313847, 0.005368932757599744, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.4958041958041958]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.11407, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,44478.51099996569,"[-0.009203884727313847, 0.005368932757599744, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.4958041958041958]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.091256, 0.022814, 0.0, 0.068442]"
STATE_MOTOR,64557.68800003625,"[-0.009203884727313847, 0.005368932757599744, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.4979020979020979]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.15339807878856412]","[0.045628, 0.0, 0.091256, 0.022814, 0.0, 0.045628]"
STATE_MOTOR,84636.99300000371,"[-0.009203884727313847, 0.009970875121256667, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.5013986013986014]","[0.0, 0.23009711818284617, 0.0, 0.0, 0.0, 0.38349519697141027]","[0.068442, 0.0, 0.068442, 0.0, 0.0, 0.022814]"
STATE_MOTOR,104715.75400003986,"[-0.0046019423636569235, 0.01457281748491359, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.5055944055944056]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.0, 0.0, 0.46019423636569234]","[0.022814, 0.0, 0.068442, 0.0, 0.0, 0.0]"
STATE_MOTOR,124795.37800004437,"[-0.0015339807878856412, 0.019174759848570515, 0.6435049405180264, 0.019941750242513333, 0.08360195293976744, 0.509090909090909]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.0, 0.0, 0.38349519697141027]","[0.022814, 0.0, 0.045628, 0.0, 0.0, 0.045628]"
STATE_MOTOR,144877.14699998833,"[0.0030679615757712823, 0.023776702212227437, 0.6435049405180264, 0.023009711818284616, 0.08360195293976744, 0.5132867132867133]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.46019423636569234]","[0.022814, 0.0, 0.045628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,164956.54799996375,"[0.007669903939428206, 0.029912625363770002, 0.6435049405180264, 0.026077673394055898, 0.08360195293976744, 0.5174825174825175]","[0.15339807878856412, 0.30679615757712825, 0.0, 0.15339807878856412, 0.0, 0.38349519697141027]","[0.022814, 0.022814, 0.045628, 0.0, 0.0, 0.0]"
STATE_MOTOR,185037.77299997635,"[0.01227184630308513, 0.032980586939541284, 0.6435049405180264, 0.030679615757712823, 0.08360195293976744, 0.5209790209790209]","[0.30679615757712825, 0.15339807878856412, 0.0, 0.15339807878856412, 0.0, 0.46019423636569234]","[0.022814, 0.0, 0.022814, 0.0, 0.0, 0.022814]"
STATE_MOTOR,205119.35000001814,"[0.018407769454627694, 0.037582529303198206, 0.6435049405180264, 0.0337475773334841, 0.0820679721518818, 0.5251748251748252]","[0.23009711818284617, 0.15339807878856412, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.0, 0.0, 0.0, 0.022814, 0.0, 0.0]"
STATE_MOTOR,225200.12600000427,"[0.021475731030398976, 0.04218447166685513, 0.6435049405180264, 0.03681553890925539, 0.0820679721518818, 0.5293706293706294]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, -0.07669903939428206, 0.46019423636569234]","[0.022814, 0.0, 0.022814, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,245278.9510000457,"[0.026077673394055898, 0.045252433242626414, 0.6435049405180264, 0.03988350048502667, 0.0820679721518818, 0.5328671328671328]","[0.23009711818284617, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.46019423636569234]","[0.0, 0.0, 0.0, 0.0, 0.022814, 0.0]"
STATE_MOTOR,265358.2240000105,"[0.02914563496982718, 0.049854375606283335, 0.6435049405180264, 0.044485442848683596, 0.0820679721518818, 0.5370629370629371]","[0.15339807878856412, 0.23009711818284617, 0.0, 0.15339807878856412, 0.0, 0.38349519697141027]","[0.022814, 0.022814, 0.0, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,285439.1289999967,"[0.02914563496982718, 0.05292233718205462, 0.6435049405180264, 0.04908738521234052, 0.0820679721518818, 0.5412587412587413]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.23009711818284617, 0.0, 0.46019423636569234]","[0.022814, 0.022814, 0.0, 0.0, 0.0, 0.022814]"
STATE_MOTOR,305518.59299998794,"[0.032213596545598466, 0.05752427954571154, 0.6435049405180264, 0.05368932757599744, 0.0820679721518818, 0.5447552447552447]","[0.07669903939428206, 0.23009711818284617, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.022814, 0.022814, 0.0, 0.0, 0.022814, 0.0]"
