type,timestamp,positions,velocities,torques
STATE_MOTOR,47.776999963389244,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.11407, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,20245.722000026944,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,40328.01500000005,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.068442, 0.0, 0.0]"
STATE_MOTOR,60403.68399999352,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,80482.9050000535,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,100562.35000001834,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,120637.66699998268,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.182512, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,140711.35200003936,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.159698, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,160788.65300005418,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,180863.3619999682,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,200937.495000062,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,221012.3319999866,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,241087.04100001432,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,261172.21499998777,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,281251.94799997646,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,301328.0970000096,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,321404.15000003483,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,341477.51499995135,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,361551.32800001866,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.11407, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,381625.3329999881,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,401699.4019999629,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,421775.13499996165,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,441848.9150000369,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.022814, 0.0, 0.0]"
STATE_MOTOR,461921.1599999744,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,482002.10899995,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,502076.5939999592,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,522149.79899997613,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.182512, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,542215.7719999632,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,562292.3050000281,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.182512, 0.045628, 0.0, 0.0]"
STATE_MOTOR,582366.82200004,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,602440.8910000147,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,622515.6320000452,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,642589.924000049,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,662664.1850000396,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,682740.6539999857,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,702814.4990000556,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.11407, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,722888.504000025,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.182512, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,742966.8930000162,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,763041.4740000333,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,783116.6949999897,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.159698, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,803191.1159999936,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,823266.33699995,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.11407, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,843340.2780000279,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.159698, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,863416.3630000558,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,883490.3360000226,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.11407, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,903564.3089999894,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,923637.7050000328,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,943713.2780000183,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,963789.1710000304,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,983862.7919999681,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1003938.2690000593,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1024115.7650000332,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.11407, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,1044192.0739999659,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.159698, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1064267.2310000306,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1084341.1399999922,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1104415.496999991,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1124490.8459999578,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1144564.7550000332,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1164639.176000037,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.159698, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1184712.3810000538,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.182512, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1204786.5130000445,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.11407, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,1224861.541999985,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.11407, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1244938.171000058,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.182512, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1265011.6639999852,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1285085.8609999705,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.182512, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1305163.738000033,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1325237.8070000077,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.159698, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1345313.21999998,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.159698, 0.068442, 0.0, 0.0]"
STATE_MOTOR,1365386.5530000075,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.068442, 0.0, 0.0]"
STATE_MOTOR,1385461.933999977,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1405536.0019999626,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1425610.7109999903,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1445686.9880000341,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1465759.296999977,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1485832.4699999911,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1505910.1550000377,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.159698, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1525985.2799999863,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,1546058.836000043,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1566133.225000044,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.182512, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,1586207.8060000613,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.136884, 0.045628, 0.0, 0.0]"
STATE_MOTOR,1606282.354999962,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,1626356.392000048,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.136884, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,1646430.5890000332,"[-0.009203884727313847, 0.005368932757599744, 0.5407282277296885, 0.019941750242513333, 0.005368932757599744, 0.4965034965034965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.136884, 0.045628, 0.022814, 0.022814]"
