type,timestamp,positions,velocities,torques
STATE_MOTOR,0.0,"[-2.7979485821560957e-06, 0.006468983367085457, 0.6098743677139282, 0.0016347819473594427, 0.07741574198007584, 0.49674326181411743]","[-0.0002593787794467062, -0.048603806644678116, 0.0683211162686348, 0.00940721109509468, 0.009282798506319523, 0.0607253760099411]","[0.00030909714405424893, -0.4814223647117615, -0.4009873569011688, -0.10414264351129532, -0.00043607974657788873, 0.0036429075989872217]"
STATE_MOTOR,0.004999999888241291,"[-1.5798522099430556e-06, 0.006408486049622297, 0.6105343103408813, 0.0016084075905382633, 0.07752367854118347, 0.4974370002746582]","[9.78547177510336e-05, -0.073496013879776, 0.11164481937885284, -0.0002296525053679943, 0.019664034247398376, 0.12629680335521698]","[-0.0002341507642995566, -0.4622412323951721, -0.344290554523468, -0.08817838132381439, -0.00024433445651084185, 0.003459010738879442]"
STATE_MOTOR,0.009999999776482582,"[-1.3934488833911018e-06, 0.006379540544003248, 0.6111927032470703, 0.0016008274396881461, 0.07760892063379288, 0.49798163771629333]","[-0.00012668764975387603, -0.06151115894317627, 0.1010049432516098, 0.00525494571775198, 0.015321723185479641, 0.09895447641611099]","[-0.00020042969845235348, -0.4548739492893219, -0.3767826557159424, -0.0964917242527008, -0.0004168310551904142, 0.0033066850155591965]"
STATE_MOTOR,0.014999999664723873,"[-1.9708077161340043e-06, 0.006403049454092979, 0.6117782592773438, 0.0016122169326990843, 0.07767549902200699, 0.49840855598449707]","[-0.00023598704137839377, -0.052737049758434296, 0.08522801101207733, 0.008172351866960526, 0.011928487569093704, 0.07752052694559097]","[0.00012498344585765153, -0.4693635404109955, -0.3913348317146301, -0.10108150541782379, -0.0004299050779081881, 0.0035039838403463364]"
STATE_MOTOR,0.019999999552965164,"[-2.812579850797192e-06, 0.006455345544964075, 0.612281084060669, 0.0016326459590345621, 0.07772752642631531, 0.49874329566955566]","[-0.0002613573451526463, -0.04870046675205231, 0.06843902915716171, 0.009388688951730728, 0.009283668361604214, 0.060727376490831375]","[0.0003098429006058723, -0.4808136224746704, -0.4004099369049072, -0.10399426519870758, -0.00043701345566660166, 0.0036425944417715073]"
STATE_MOTOR,0.024999999441206455,"[0.00033018941758200526, 0.006835778709501028, 0.6125061511993408, 0.002565024420619011, 0.07818560302257538, 0.5000250935554504]","[0.09520494937896729, 0.03431866690516472, 0.04014628380537033, 0.1833050549030304, 0.08320629596710205, 0.23312273621559143]","[0.2252345234155655, -0.2692776620388031, -0.22665704786777496, -0.04356727376580238, -0.0019652352202683687, 0.0012198134791105986]"
STATE_MOTOR,0.029999999329447746,"[0.0009189637494273484, 0.00739319296553731, 0.6129879355430603, 0.003383044619113207, 0.07854174077510834, 0.501028835773468]","[0.12543724477291107, 0.058436863124370575, 0.08637343347072601, 0.15999293327331543, 0.06438802927732468, 0.18248973786830902]","[0.07192059606313705, -0.36467984318733215, -0.2767150104045868, -0.0670633390545845, -0.0012671733275055885, 0.0021874685771763325]"
STATE_MOTOR,0.03499999921768904,"[0.0015473940875381231, 0.008018746972084045, 0.6136332750320435, 0.004090416245162487, 0.07881809026002884, 0.5018147826194763]","[0.12294745445251465, 0.06661771982908249, 0.11128953099250793, 0.13850389420986176, 0.0499880425632, 0.1428527981042862]","[-0.005941377487033606, -0.4249457120895386, -0.33352524042129517, -0.08448020368814468, -0.0004142480902373791, 0.0029438985511660576]"
STATE_MOTOR,0.03999999910593033,"[0.0021131178364157677, 0.00865098088979721, 0.6143452525138855, 0.004695142153650522, 0.07903319597244263, 0.502430260181427]","[0.10605858266353607, 0.06415240466594696, 0.11846396327018738, 0.11853858828544617, 0.038916975259780884, 0.11183237284421921]","[-0.04006825014948845, -0.46975627541542053, -0.3773634433746338, -0.09787865728139877, -4.881853237748146e-05, 0.0035030697472393513]"
STATE_MOTOR,0.04499999899417162,"[0.0029118831735104322, 0.009571842849254608, 0.6148468852043152, 0.00611426867544651, 0.0795854702591896, 0.5039278864860535]","[0.1803174465894699, 0.1378762274980545, 0.09863077104091644, 0.2738317847251892, 0.10029687732458115, 0.27239760756492615]","[0.17438101768493652, -0.28449711203575134, -0.23285320401191711, -0.046274758875370026, -0.001542194513604045, 0.0014064961578696966]"
STATE_MOTOR,0.04999999888241291,"[0.0038615940138697624, 0.010607723146677017, 0.6156244277954102, 0.007332698907703161, 0.08001507073640823, 0.5051004886627197]","[0.19009487330913544, 0.14836236834526062, 0.14596177637577057, 0.23411700129508972, 0.0777650848031044, 0.2132377177476883]","[0.023044465109705925, -0.39734596014022827, -0.29976218938827515, -0.07481643557548523, -0.0007940204814076424, 0.002577932784333825]"
STATE_MOTOR,0.0549999987706542,"[0.0047573610208928585, 0.011639637872576714, 0.6165507435798645, 0.008365238085389137, 0.08034902811050415, 0.5060187578201294]","[0.17008450627326965, 0.1417444795370102, 0.1659475564956665, 0.19836793839931488, 0.06049396097660065, 0.16694538295269012]","[-0.047561027109622955, -0.4670630097389221, -0.3672181963920593, -0.09536683559417725, -2.210185630246997e-05, 0.0034479289315640926]"
STATE_MOTOR,0.05999999865889549,"[0.005513930693268776, 0.01260407269001007, 0.6175066232681274, 0.00923000369220972, 0.08060946315526962, 0.5067379474639893]","[0.13925567269325256, 0.12449844926595688, 0.1645054817199707, 0.16610166430473328, 0.047192469239234924, 0.1307257115840912]","[-0.07297153770923615, -0.5157605409622192, -0.41623878479003906, -0.11023664474487305, 0.00024770142044872046, 0.0040543340146541595]"
STATE_MOTOR,0.06499999854713678,"[0.006444619968533516, 0.013791532255709171, 0.6181933879852295, 0.010851070284843445, 0.08116360008716583, 0.5083088874816895]","[0.20300456881523132, 0.18545857071876526, 0.13186423480510712, 0.3104044795036316, 0.1006174087524414, 0.2857668399810791]","[0.14916251599788666, -0.33239877223968506, -0.2758497893810272, -0.059835560619831085, -0.0014070321340113878, 0.001978812040761113]"
